age,femaleDeaths,maleDeaths,totalDeaths
0,2795,3614,6409
1,663,644,1307
2,381,342,723
3,254,250,504
4,216,229,445
5,186,182,368
6,185,183,368
7,166,134,300
8,134,114,248
9,146,125,271
10,117,116,233
11,133,137,270
12,127,111,238
13,154,127,281
14,189,146,335
15,203,193,396
16,279,265,544
17,311,309,620
18,325,371,696
19,377,463,840
20,406,517,923
21,396,548,944
22,426,560,986
23,453,609,1062
24,460,616,1076
25,470,647,1117
26,446,659,1105
27,495,649,1144
28,464,702,1166
29,440,660,1100
30,469,606,1075
31,393,634,1027
32,419,573,992
33,418,579,997
34,369,463,832
35,349,528,877
36,372,500,872
37,319,466,785
38,335,398,733
39,340,417,757
40,319,432,751
41,297,392,689
42,321,406,727
43,313,425,738
44,248,350,598
45,279,343,622
46,269,360,629
47,260,357,617
48,320,377,697
49,250,324,574
50,279,312,591
51,290,371,661
52,304,352,656
53,331,414,745
54,336,458,794
55,375,416,791
56,367,425,792
57,365,449,814
58,356,443,799
59,414,435,849
60,388,460,848
61,478,469,947
62,429,480,909
63,430,409,839
64,444,447,891
65,478,516,994
66,499,467,966
67,557,482,1039
68,598,537,1135
69,594,560,1154
70,553,501,1054
71,624,566,1190
72,676,553,1229
73,631,590,1221
74,615,556,1171
75,669,520,1189
76,597,515,1112
77,590,440,1030
78,581,458,1039
79,505,417,922
80,420,333,753
81,422,305,727
82,379,298,677
83,328,251,579
84,312,189,501
85,213,179,392
86,196,158,354
87,176,123,299
88,139,85,224
89,83,61,144
90,73,60,133
91,60,40,100
92,35,21,56
93,30,13,43
94,20,10,30
95,9,7,16
96,5,6,11
97,5,1,6
98,3,3,6
99,2,1,3
100,1,0,1
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
