ORF,Gene,Heat 0,Heat 15,Heat 30,Heat 45,Heat 60,Heat 120,Acid 0,Acid 10,Acid 20,Acid 40,Acid 60,Acid 80,Acid 100,Alkali 0,Alkali 10,Alkali 20,Alkali 40,Alkali 60,Alkali 80,Peroxide  0,Peroxide 10,Peroxide 20,Peroxide 40,Peroxide 60,Peroxide 120,NaCl 0,NaCl 15,NaCl 30,NaCl 45,NaCl 60,NaCl 120,Sorbitol 0,Sorbitol 15,Sorbitol 30,Sorbitol 45,Sorbitol 90,Sorbitol 120
YAL001C,TFC3,120.3,127.9,208.2,178.4,85.6,59.3,182.15,437.4,343.3,135.7,151.3,164.6,233.6,182.15,258.3,145.8,139.3,333.1,122.4,148.75,145.1,71.2,136,55.4,78.6,194,250.2,319.9,191.2,204.8,281.4,194,175.4,293.3,280.9,267.7,256
YAL002W,VPS8,48,70.2,112.9,151.7,106.8,117.8,93.45,141.1,128.7,53.8,154.1,85.3,93,93.45,93,70.2,20,97,78.9,38.3,20,20,53.2,28.5,26.2,353,240.3,561.5,714.8,414.1,110.1,353,202.2,603.3,381.3,442.3,244.6
YAL003W,EFB1,8327.5,7530.4,7286.2,7129,7351.7,6468.4,11761.95,11810.8,7883.8,7846.9,9723.5,8931.2,9055.2,11761.95,6035.4,5641.2,6280.6,6700.1,6491.1,9552.6,5229.2,3682.2,2481,1142,5539.8,15465,11569.5,9861.5,6583.2,8363.7,6866,15465,10136,6710.1,8835.1,14018.7,14375.8
YAL004W,YAL004W,31.8,101.3,158.6,54.7,35.9,120.3,36,81.1,76.9,71.7,48.5,49.6,43.4,36,49.6,56.7,66.4,74.4,23.7,81.15,20,32.6,20,33.2,20,222,160.9,653.5,296.6,329.1,212.9,222,143.1,160.5,293.1,250.2,136.8
YAL005C,SSA1,1605.4,4185.5,6146.8,4823.2,4233.3,5565.6,3133.35,6191.1,6356.7,5158.7,5102.9,2889.2,3063.9,3133.35,10448.8,8291.7,7037.1,5093,2830.1,3393,4629.1,4450.4,3932.9,2739.5,3434.4,29035,22053.7,20417.3,32081.5,41586.3,27077.4,29035,25524.7,34268.1,32182.6,22050.5,20653.5
YAL007C,ERP2,362.25,585.6,870.9,1098.9,593.8,686.7,573.75,560.9,631.8,553,827.6,442.2,549.9,573.75,776.9,510.1,558.4,459.2,584.2,362.3,309.9,209.1,223.3,106,207.2,647,320.4,622.9,286.8,486.9,416,647,248.4,271.2,266,483,682.1
YAL008W,YAL008W,88.35,457.7,436.9,470,304.7,472.9,224.75,596.2,654,384,402.4,329.2,388.7,224.75,1055.8,448.1,421.2,362.2,262.5,187.85,317.3,355.9,348.9,211.9,252.5,239,146.7,743.3,123.8,332.2,93,239,68.3,127.3,150.6,119.9,189.7
YAL009W,SPO7,94.6,215.9,138.2,221.3,221.9,192.6,156.9,172.9,87.3,194.6,251.1,113,134.4,156.9,128.1,67.5,66.4,132.6,20,91.2,83.6,87.5,105,64.8,135.8,1127,811,1399.1,1068.9,1204.3,753.6,1127,913.1,1053.5,1000.1,1035.8,999.3
YAL010C,MDM10,70.2,120.5,82.7,124.3,129.8,176.3,100,84.7,146.5,99.8,117,101.1,107.5,100,117.8,126.9,79.5,142.3,20,72.65,81.2,69.7,99.1,102.8,111.9,102,20,237,136.9,224.5,20,102,110.8,86.7,69.2,152.5,93.3
YAL011W,YAL011W,175,227,308.5,177.7,223.7,199.1,154.15,246.9,232.3,304.7,245.4,196.3,239.8,154.15,303.7,175.4,169.8,239.3,122.4,186.8,36.9,54.9,96.1,63.3,176.2,98,32.6,90.5,20,95.6,29.4,98,59.1,20,20,34.9,91.2
YAL012W,CYS3,4426.5,3979.2,5270.1,4816.7,5199.1,3556.8,4270.6,4011,4740.9,3568.9,4121.1,3404.7,3045.3,4270.6,5175.8,5077.1,3766.2,4126.1,3398.5,3514.1,2993.4,2492.9,2689.4,2533.9,1843.4,6612,803.2,910.5,636.6,931.3,301,6612,3510.4,2734.2,2240.3,6181.3,3538
YAL013W,DEP1,260.55,328.3,326,273.4,419.8,283.6,266.7,328.1,257.5,350.7,396.7,241.9,314.2,266.7,219,102.6,37,20,86.8,244.45,243.5,121.6,155.2,167.7,159.6,1055,318.3,502.4,424.8,317,310.8,1055,884.5,1094.1,720.5,919.4,860.4
YAL014C,YAL014C,336.2,488,490.4,572.2,590.2,541.2,268.8,321,324.1,299.5,373.9,204.2,229.5,268.8,630.2,402.2,369,313.7,327.6,278.55,297.6,292.1,300.1,284.7,212,746,140.4,259.3,331.3,45.5,105.2,746,275.1,811.8,571.3,466.7,455.1
YAL015C,NTG1,96.6,286.9,294.8,334.6,302,346.2,77.4,91.7,146.5,69.1,122.7,39.7,109.6,77.4,278.9,135,152.4,87.3,171.7,108.4,152.5,185.4,278,211.9,83.4,156,199.2,482.5,218.4,136.5,144.4,156,289,457.5,133,124.5,161.7
