gene,expt,time,expression
YAL001C,elu,0,0.3
YAL002W,elu,0,0.14
YAL003W,elu,0,-1.54
YAL004W,elu,0,0.36
YAL005C,elu,0,-0.09
YAL007C,elu,0,-0.17
YAL008W,elu,0,0.2
YAL009W,elu,0,0.49
YAL010C,elu,0,0.67
YAL011W,elu,0,0.03
YAL001C,elu,30,-0.12
YAL002W,elu,30,0.17
YAL003W,elu,30,-0.3
YAL004W,elu,30,0.1
YAL005C,elu,30,-0.02
YAL007C,elu,30,-0.28
YAL008W,elu,30,0.4
YAL009W,elu,30,0.23
YAL010C,elu,30,0.52
YAL011W,elu,30,-0.13
YAL001C,elu,60,0.24
YAL002W,elu,60,0.03
YAL003W,elu,60,NA
YAL004W,elu,60,0.11
YAL005C,elu,60,NA
YAL007C,elu,60,-0.16
YAL008W,elu,60,-0.59
YAL009W,elu,60,0.06
YAL010C,elu,60,NA
YAL011W,elu,60,0.03
YAL001C,elu,90,0.18
YAL002W,elu,90,0.35
YAL003W,elu,90,0.39
YAL004W,elu,90,0.14
YAL005C,elu,90,0.25
YAL007C,elu,90,0.2
YAL008W,elu,90,0.29
YAL009W,elu,90,0.32
YAL010C,elu,90,-0.5
YAL011W,elu,90,0.16
YAL001C,elu,120,-0.24
YAL002W,elu,120,0.03
YAL003W,elu,120,0.18
YAL004W,elu,120,-0.15
YAL005C,elu,120,-0.45
YAL007C,elu,120,0.36
YAL008W,elu,120,-0.42
YAL009W,elu,120,0.12
YAL010C,elu,120,-0.34
YAL011W,elu,120,0.26
YAL001C,elu,150,0.11
YAL002W,elu,150,-0.08
YAL003W,elu,150,0.28
YAL004W,elu,150,-0.73
YAL005C,elu,150,-0.83
YAL007C,elu,150,0.17
YAL008W,elu,150,-0.16
YAL009W,elu,150,0.12
YAL010C,elu,150,-0.17
YAL011W,elu,150,-0.01
YAL001C,elu,180,-0.12
YAL002W,elu,180,-0.13
YAL003W,elu,180,0.15
YAL004W,elu,180,-0.79
YAL005C,elu,180,-0.26
YAL007C,elu,180,0.39
YAL008W,elu,180,0.2
YAL009W,elu,180,0.29
YAL010C,elu,180,0.37
YAL011W,elu,180,-0.15
YAL001C,elu,210,0.37
YAL002W,elu,210,-0.21
YAL003W,elu,210,0.4
YAL004W,elu,210,-0.2
YAL005C,elu,210,-0.16
YAL007C,elu,210,0.1
YAL008W,elu,210,0.07
YAL009W,elu,210,-0.1
YAL010C,elu,210,-0.08
YAL011W,elu,210,-0.17
YAL001C,elu,240,0.07
YAL002W,elu,240,-0.06
YAL003W,elu,240,0.24
YAL004W,elu,240,0.34
YAL005C,elu,240,0.3
YAL007C,elu,240,0
YAL008W,elu,240,0.01
YAL009W,elu,240,-0.41
YAL010C,elu,240,-0.01
YAL011W,elu,240,0.08
YAL001C,elu,270,-0.09
YAL002W,elu,270,-0.1
YAL003W,elu,270,0.22
YAL004W,elu,270,0.07
YAL005C,elu,270,0.21
YAL007C,elu,270,-0.16
YAL008W,elu,270,-0.04
YAL009W,elu,270,-0.65
YAL010C,elu,270,0.02
YAL011W,elu,270,0.11
YAL001C,elu,300,-0.32
YAL002W,elu,300,-0.19
YAL003W,elu,300,-0.27
YAL004W,elu,300,-0.59
YAL005C,elu,300,-0.43
YAL007C,elu,300,0.29
YAL008W,elu,300,-0.02
YAL009W,elu,300,-0.07
YAL010C,elu,300,0.34
YAL011W,elu,300,-0.13
YAL001C,elu,330,0.04
YAL002W,elu,330,0.08
YAL003W,elu,330,-0.1
YAL004W,elu,330,0.35
YAL005C,elu,330,0.21
YAL007C,elu,330,-0.06
YAL008W,elu,330,0.19
YAL009W,elu,330,-0.35
YAL010C,elu,330,0.05
YAL011W,elu,330,-0.09
YAL001C,elu,360,-0.48
YAL002W,elu,360,0.01
YAL003W,elu,360,0.34
YAL004W,elu,360,0.66
YAL005C,elu,360,0.6
YAL007C,elu,360,-0.26
YAL008W,elu,360,-0.42
YAL009W,elu,360,-0.19
YAL010C,elu,360,-0.93
YAL011W,elu,360,-0.01
YAL001C,elu,390,0.04
YAL002W,elu,390,-0.02
YAL003W,elu,390,0.02
YAL004W,elu,390,0.32
YAL005C,elu,390,0.65
YAL007C,elu,390,-0.41
YAL008W,elu,390,0.29
YAL009W,elu,390,0.15
YAL010C,elu,390,0.05
YAL011W,elu,390,0.01
