gene,expt,time,expression
YAL001C,alpha,0,-0.15
YAL002W,alpha,0,-0.11
YAL003W,alpha,0,-0.14
YAL004W,alpha,0,-0.02
YAL005C,alpha,0,-0.05
YAL007C,alpha,0,-0.6
YAL008W,alpha,0,-0.28
YAL009W,alpha,0,-0.03
YAL010C,alpha,0,-0.05
YAL011W,alpha,0,-0.31
YAL001C,alpha,7,-0.15
YAL002W,alpha,7,0.1
YAL003W,alpha,7,-0.71
YAL004W,alpha,7,-0.48
YAL005C,alpha,7,-0.53
YAL007C,alpha,7,-0.45
YAL008W,alpha,7,-0.22
YAL009W,alpha,7,-0.27
YAL010C,alpha,7,0.13
YAL011W,alpha,7,-0.43
YAL001C,alpha,14,-0.21
YAL002W,alpha,14,0.01
YAL003W,alpha,14,0.1
YAL004W,alpha,14,-0.11
YAL005C,alpha,14,-0.47
YAL007C,alpha,14,-0.13
YAL008W,alpha,14,-0.06
YAL009W,alpha,14,0.17
YAL010C,alpha,14,0.13
YAL011W,alpha,14,-0.3
YAL001C,alpha,21,0.17
YAL002W,alpha,21,0.06
YAL003W,alpha,21,-0.32
YAL004W,alpha,21,0.12
YAL005C,alpha,21,-0.06
YAL007C,alpha,21,0.35
YAL008W,alpha,21,0.22
YAL009W,alpha,21,-0.12
YAL010C,alpha,21,-0.21
YAL011W,alpha,21,-0.23
YAL001C,alpha,28,-0.42
YAL002W,alpha,28,0.04
YAL003W,alpha,28,-0.4
YAL004W,alpha,28,-0.03
YAL005C,alpha,28,0.11
YAL007C,alpha,28,-0.01
YAL008W,alpha,28,0.25
YAL009W,alpha,28,-0.27
YAL010C,alpha,28,-0.45
YAL011W,alpha,28,-0.13
YAL001C,alpha,35,-0.44
YAL002W,alpha,35,-0.26
YAL003W,alpha,35,-0.58
YAL004W,alpha,35,0.19
YAL005C,alpha,35,-0.07
YAL007C,alpha,35,0.49
YAL008W,alpha,35,0.13
YAL009W,alpha,35,0.06
YAL010C,alpha,35,-0.21
YAL011W,alpha,35,-0.07
YAL001C,alpha,42,-0.15
YAL002W,alpha,42,0.04
YAL003W,alpha,42,0.11
YAL004W,alpha,42,0.13
YAL005C,alpha,42,0.25
YAL007C,alpha,42,0.18
YAL008W,alpha,42,0.34
YAL009W,alpha,42,0.23
YAL010C,alpha,42,0.06
YAL011W,alpha,42,0.08
YAL001C,alpha,49,0.24
YAL002W,alpha,49,0.19
YAL003W,alpha,49,0.21
YAL004W,alpha,49,0.76
YAL005C,alpha,49,0.46
YAL007C,alpha,49,0.43
YAL008W,alpha,49,0.44
YAL009W,alpha,49,0.11
YAL010C,alpha,49,0.32
YAL011W,alpha,49,0.12
YAL001C,alpha,56,-0.1
YAL002W,alpha,56,-0.22
YAL003W,alpha,56,0.09
YAL004W,alpha,56,0.07
YAL005C,alpha,56,0.12
YAL007C,alpha,56,-0.23
YAL008W,alpha,56,-0.32
YAL009W,alpha,56,0.03
YAL010C,alpha,56,0
YAL011W,alpha,56,-0.01
YAL001C,alpha,63,NA
YAL002W,alpha,63,-0.2
YAL003W,alpha,63,0.57
YAL004W,alpha,63,0.04
YAL005C,alpha,63,0.49
YAL007C,alpha,63,-0.3
YAL008W,alpha,63,0.26
YAL009W,alpha,63,-0.27
YAL010C,alpha,63,0.26
YAL011W,alpha,63,-0.13
YAL001C,alpha,70,0.18
YAL002W,alpha,70,0.12
YAL003W,alpha,70,-0.14
YAL004W,alpha,70,-0.06
YAL005C,alpha,70,-0.42
YAL007C,alpha,70,-0.24
YAL008W,alpha,70,-0.77
YAL009W,alpha,70,-0.24
YAL010C,alpha,70,-0.5
YAL011W,alpha,70,0.12
YAL001C,alpha,77,0.42
YAL002W,alpha,77,0.21
YAL003W,alpha,77,0.29
YAL004W,alpha,77,0.3
YAL005C,alpha,77,0.28
YAL007C,alpha,77,0.23
