,alpha,alpha0,alpha7,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha91,alpha98,alpha105,alpha112,alpha119,cdc15,cdc15_10,cdc15_30,cdc15_50,cdc15_70,cdc15_80,cdc15_90,cdc15_100,cdc15_110,cdc15_120,cdc15_130,cdc15_140,cdc15_150,cdc15_160,cdc15_170,cdc15_180,cdc15_190,cdc15_200,cdc15_210,cdc15_220,cdc15_230,cdc15_240,cdc15_250,cdc15_270,cdc15_290,cdc28,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_110,cdc28_120,cdc28_130,cdc28_140,cdc28_150,cdc28_160,elu,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YAL001C,,-0.15,-0.15,-0.21,0.17,-0.42,-0.44,-0.15,0.24,-0.1,,0.18,0.42,-0.25,-0.01,-0.13,0.77,-0.21,0.43,,-0.16,0.09,-0.23,0.03,-0.04,-0.12,-0.28,-0.44,-0.09,0.12,0.06,-0.04,0.31,0.59,0.34,-0.28,-0.09,-0.44,0.31,0.03,0.57,0,0.02,-0.26,,-0.19,-0.77,-0.17,-0.19,0.13,-0.36,-0.55,-0.07,-0.01,0.03,0.27,0.49,0.85,0.66,-0.24,0.03,0.09,,0.3,-0.12,0.24,0.18,-0.24,0.11,-0.12,0.37,0.07,-0.09,-0.32,0.04,-0.48,0.04
YAL002W,,-0.11,0.1,0.01,0.06,0.04,-0.26,0.04,0.19,-0.22,-0.2,0.12,0.21,-0.26,-0.3,0.22,0.58,-0.36,0.13,,,,,-0.58,0.23,-0.23,0.08,-0.62,0.55,-0.32,0.03,-0.56,0.47,-0.15,0.49,,0.23,-0.49,0.33,0.18,0.65,-0.29,,,,0.83,-0.01,-0.77,-0.62,0.14,-0.58,-0.05,0.23,0.2,0.23,0.08,-0.03,0.39,-0.09,,0.19,-0.14,,0.14,0.17,0.03,0.35,0.03,-0.08,-0.13,-0.21,-0.06,-0.1,-0.19,0.08,0.01,-0.02
YAL003W,,-0.14,-0.71,0.1,-0.32,-0.4,-0.58,0.11,0.21,0.09,0.57,-0.14,0.29,0.01,0.04,0.05,0.55,-0.08,0.33,,-0.37,-0.22,-0.16,0.04,0.53,-0.25,0.08,-0.24,0.37,-0.22,0.16,-0.21,0.03,0.03,0.48,,0.22,-0.06,0.08,0.56,0.48,-0.47,-0.45,-0.41,,-0.36,-0.22,0.22,-0.28,0.41,-0.8,0.42,0.05,-0.47,1.06,-2.82,0.38,-0.22,0.47,0.89,0.48,0.8,,-1.54,-0.3,,0.39,0.18,0.28,0.15,0.4,0.24,0.22,-0.27,-0.1,0.34,0.02
YAL004W,,-0.02,-0.48,-0.11,0.12,-0.03,0.19,0.13,0.76,0.07,0.04,-0.06,0.3,-0.47,-0.16,-0.11,0.23,-0.45,0.02,,,,,-1.5,-0.03,-1.2,-0.06,-1.78,0.14,-1.13,-0.13,-1.27,-0.27,-0.94,0.14,,1.04,0.48,1.94,1.62,1.73,1.22,,,,1.64,1.14,0.88,-0.07,0.03,-1.18,0.07,-0.34,-0.73,-0.18,-0.6,-0.16,-0.12,-0.38,0.01,,,,0.36,0.1,0.11,0.14,-0.15,-0.73,-0.79,-0.2,0.34,0.07,-0.59,0.35,0.66,0.32
YAL005C,,-0.05,-0.53,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.42,0.28,-0.3,-0.18,-0.3,0.68,-0.24,0.22,,-0.43,-1.33,-1.53,-1.53,-0.37,-1.65,-0.71,-1.53,-0.1,-1.15,-0.33,-1.15,-0.19,-0.84,0.52,,1.18,0.88,1.8,2.24,2.34,1.43,1.27,1.18,,1.55,1.58,1.34,0.01,0.53,-0.8,-0.16,-0.61,-0.9,-0.07,-0.96,-0.53,-0.66,,-0.27,-0.41,0.35,,-0.09,-0.02,,0.25,-0.45,-0.83,-0.26,-0.16,0.3,0.21,-0.43,0.21,0.6,0.65
YAL007C,,-0.6,-0.45,-0.13,0.35,-0.01,0.49,0.18,0.43,-0.23,-0.3,-0.24,0.23,0.04,0.09,0.18,0.16,-0.01,-0.21,,,,,0.14,0.58,0.25,0.03,-1,0,-0.41,0.1,0.14,0.4,0.2,0.24,,0.26,-0.39,0.43,-0.26,-0.33,-0.37,,,,-0.59,-0.16,0.66,-0.1,0.07,-0.33,0.41,-0.23,-0.51,0.58,0.07,0.32,0.01,0.17,,-0.21,-0.14,,-0.17,-0.28,-0.16,0.2,0.36,0.17,0.39,0.1,0,-0.16,0.29,-0.06,-0.26,-0.41
YAL008W,,-0.28,-0.22,-0.06,0.22,0.25,0.13,0.34,0.44,-0.32,0.26,-0.77,0.31,-0.09,0.02,-0.45,0.47,-0.49,0.22,,-0.2,0.04,-0.27,-0.4,0.44,-0.73,0.03,-0.69,0.55,-0.53,0.1,-0.2,0.29,-0.15,0.6,,0.07,-0.31,0.3,0.5,0.82,-0.08,-0.13,-0.04,,1.15,0.67,0.94,,-0.38,-0.91,-0.05,-0.91,-0.79,0.52,-0.3,0.21,0.03,-0.08,-0.1,,,,0.2,0.4,-0.59,0.29,-0.42,-0.16,0.2,0.07,0.01,-0.04,-0.02,0.19,-0.42,0.29
YAL009W,,-0.03,-0.27,0.17,-0.12,-0.27,0.06,0.23,0.11,0.03,-0.27,-0.24,0.36,-0.11,0,-0.27,0.46,0.23,-0.06,,,-0.02,0,0.07,0.14,0.17,0.23,0.19,-0.1,0,-0.21,0.01,-0.13,-1.38,0.16,0.05,0.29,0.04,0.39,-0.21,0.29,0,0,0.03,,0.39,-0.87,-0.13,-0.71,0.2,-0.73,0.28,0.25,0.1,0.06,0.18,0.5,0.33,0.06,,-0.35,0.44,,0.49,0.23,0.06,0.32,0.12,0.12,0.29,-0.1,-0.41,-0.65,-0.07,-0.35,-0.19,0.15
YAL010C,,-0.05,0.13,0.13,-0.21,-0.45,-0.21,0.06,0.32,0,0.26,-0.5,0.31,0.1,-0.14,-0.71,0.51,0.31,0.13,,-0.24,-0.06,-0.11,-0.25,0.4,-0.52,0.19,-0.31,0.63,-0.31,0.15,-0.27,0.5,-0.14,0.46,,0.13,-0.56,0.19,0.71,0.73,-0.4,-0.4,-0.52,,0.7,-0.04,-0.33,-0.27,-0.02,-0.85,0.2,0.33,0.15,-0.18,-0.24,-0.03,0.24,,0.11,0.14,0.08,,0.67,0.52,,-0.5,-0.34,-0.17,0.37,-0.08,-0.01,0.02,0.34,0.05,-0.93,0.05
YAL011W,,-0.31,-0.43,-0.3,-0.23,-0.13,-0.07,0.08,0.12,-0.01,-0.13,0.12,0.47,-0.3,-0.41,1.04,0.54,-0.16,0.07,,,,,-0.29,-0.09,0.02,0.29,-0.52,0.02,-0.15,0.06,-0.17,0.51,-0.2,0.25,,-0.14,-0.22,0.23,0.23,0.36,-0.19,,,,-0.06,-0.44,-0.47,-0.73,0.54,-0.4,0.43,0.33,-0.09,0.62,-0.12,0.03,-0.17,0.36,0.18,,,,0.03,-0.13,0.03,0.16,0.26,-0.01,-0.15,-0.17,0.08,0.11,-0.13,-0.09,-0.01,0.01
