ftr.name,ftr.qualifier
YAL069W,Dubious
YAL068W-A,Dubious
YAL068C,Verified
YAL067W-A,Uncharacterized
YAL067C,Verified
YAL066W,Dubious
YAL065C,Uncharacterized
YAL064W-B,Uncharacterized
YAL064C-A,Uncharacterized
YAL064W,Verified
YAL063C-A,Uncharacterized
YAL063C,Verified
YAL062W,Verified
YAL061W,Uncharacterized
YAL060W,Verified
YAL059W,Verified
YAL059C-A,Dubious
YAL058W,Verified
YAL056C-A,Dubious
YAL056W,Verified
YAL055W,Verified
YAL054C,Verified
YAL053W,Verified
YAL051W,Verified
YAL049C,Verified
YAL047W-A,Dubious
YAL048C,Verified
YAL047C,Verified
YAL046C,Verified
YAL044W-A,Verified
YAL045C,Dubious
YAL044C,Verified
YAL043C,Verified
YAL042W,Verified
YAL042C-A,Dubious
YAL041W,Verified
YAL040C,Verified
YAL039C,Verified
YAL038W,Verified
YAL037C-B,Dubious
YAL037C-A,Uncharacterized
YAL037W,Uncharacterized
YAL036C,Verified
YAL035W,Verified
YAL034W-A,Verified
YAL034C-B,Dubious
YAL034C,Verified
YAL033W,Verified
YAL032C,Verified
YAL031W-A,Dubious
YAL031C,Verified
YAL030W,Verified
YAL029C,Verified
YAL028W,Verified
YAL027W,Verified
YAL026C-A,Dubious
YAL026C,Verified
YAL025C,Verified
YAL024C,Verified
YAL023C,Verified
YAL022C,Verified
YAL021C,Verified
YAL019W-A,Dubious
YAL020C,Verified
YAL019W,Verified
YAL018C,Verified
YAL017W,Verified
YAL016C-B,Dubious
YAL016W,Verified
YAL016C-A,Dubious
YAL015C,Verified
YAL014C,Verified
YAL013W,Verified
YAL012W,Verified
YAL011W,Verified
YAL010C,Verified
YAL009W,Verified
YAL008W,Verified
YAL007C,Verified
YAL004W,Dubious
YAL005C,Verified
YAL003W,Verified
YAL002W,Verified
YAL001C,Verified
YAR002W,Verified
YAR002C-A,Verified
YAR003W,Verified
YAR007C,Verified
YAR008W,Verified
YAR014C,Verified
YAR015W,Verified
YAR018C,Verified
YAR019W-A,Dubious
YAR019C,Verified
YAR020C,Verified
YAR023C,Uncharacterized
YAR027W,Verified
YAR028W,Uncharacterized
YAR029W,Uncharacterized
YAR031W,Verified
YAR030C,Dubious
YAR033W,Verified
YAR035W,Verified
YAR035C-A,Uncharacterized
YAR042W,Verified
YAR047C,Dubious
YAR050W,Verified
YAR053W,Dubious
YAR060C,Dubious
YAR064W,Uncharacterized
YAR066W,Uncharacterized
YAR068W,Uncharacterized
YAR069C,Dubious
YAR070C,Dubious
YAR071W,Verified
YAR073W,Dubious
YAR075W,Dubious
YJL225W-A,Dubious
YJL225C,Uncharacterized
YJL223C,Verified
YJL222W-B,Dubious
YJL222W-A,Dubious
